"Observation.Number"	"dist_cod"	"county"	"district"	"gr_span"	"enrl_tot"	"teachers"	"calw_pct"	"meal_pct"	"computer"	"testscr"	"expn_stu"	"avginc"	"el_pct"	"read_scr"	"math_scr"	"str"	"str2"	"csr"	"above_dummy"
"1"	1	75119	"Alameda"	"Sunol Glen Unified"	"KK-08"	195	10.89999962	0.510200024	2.040800095	67	690.7999878	6384.911133	22.69000053	0	691.5999756	690	17.8899088805656	0.343589743589744	0.343589743589744	1
"2"	2	61499	"Butte"	"Manzanita Elementary"	"KK-08"	240	11.14999962	15.41670036	47.91669846	101	661.2000122	5099.380859	9.824000359	4.583333492	660.5	661.9000244	21.5246644107061	0.420833333333333	0.420833333333333	1
"3"	3	61549	"Butte"	"Thermalito Union Elementary"	"KK-08"	1550	82.90000153	55.03229904	76.32260132	169	643.5999756	5501.95459	8.977999687	30.00000191	636.2999878	650.9000244	18.697225227904	0.109032258064516	0.109032258064516	0
"4"	4	61457	"Butte"	"Golden Feather Union Elementary"	"KK-08"	243	14	36.47539902	77.04920197	85	647.7000122	7101.831055	8.977999687	0	651.9000244	643.5	17.3571428571429	0.349794238683128	0.349794238683128	0
"5"	5	61523	"Butte"	"Palermo Union Elementary"	"KK-08"	1335	71.5	33.10860062	78.42700195	171	640.8499756	5235.987793	9.080332756	13.85767746	641.7999878	639.9000244	18.6713286713287	0.128089887640449	0.128089887640449	0
"6"	6	62042	"Fresno"	"Burrel Union Elementary"	"KK-08"	137	6.400000095	12.31879997	86.95649719	25	605.5500488	5580.146973	10.41499996	12.40875912	605.7000122	605.4000244	21.406249682251	0.182481751824818	0.182481751824818	0
"7"	7	68536	"San Joaquin"	"Holt Union Elementary"	"KK-08"	195	10	12.90320015	94.623703	28	606.75	5253.331055	6.577000141	68.71794891	604.5	609	19.5	0.143589743589744	0.143589743589744	0
"8"	8	63834	"Kern"	"Vineland Elementary"	"KK-08"	888	42.5	18.80629921	100	66	609	4565.746094	8.173999786	46.95946121	605.5	612.5	20.8941176470588	0.0743243243243243	0.0743243243243243	0
"9"	9	62331	"Fresno"	"Orange Center Elementary"	"KK-08"	379	19	32.18999863	93.13980103	35	612.5	5355.54834	7.385000229	30.07915688	608.9000244	616.0999756	19.9473684210526	0.0923482849604222	0.0923482849604222	0
"10"	10	67306	"Sacramento"	"Del Paso Heights Elementary"	"KK-06"	2247	108	78.99420166	87.31639862	0	612.6500244	5036.211426	11.61333275	40.27592087	611.9000244	613.4000244	20.8055555555556	0	0	0
"11"	11	65722	"Merced"	"Le Grand Union Elementary"	"KK-08"	446	21	18.60989952	85.87439728	86	615.75	4547.692383	8.930999756	52.91479874	612.7999878	618.7000122	21.2380952380952	0.192825112107623	0.192825112107623	0
"12"	12	62174	"Fresno"	"West Fresno Elementary"	"KK-08"	987	47	71.71309662	98.60559845	56	616.2999878	5447.345215	7.385000229	54.60993195	616.5999756	616	21	0.0567375886524823	0.0567375886524823	0
"13"	13	71795	"Tulare"	"Allensworth Elementary"	"KK-08"	103	5	22.42989922	98.13079834	25	616.2999878	6567.149414	5.335000038	42.71844482	612.7999878	619.7999878	20.6	0.242718446601942	0.242718446601942	0
"14"	14	72181	"Tulare"	"Sunnyside Union Elementary"	"KK-08"	487	24.34000015	24.6093998	77.14839935	0	616.2999878	4818.612793	8.279000282	20.53388023	610	622.5999756	20.0082168035648	0	0	0
"15"	15	72298	"Tulare"	"Woodville Elementary"	"KK-08"	649	36	14.63790035	76.27120209	31	616.4500122	5621.456055	9.630000114	80.1232605	611.9000244	621	18.0277777777778	0.0477657935285054	0.0477657935285054	0
"16"	16	72041	"Tulare"	"Pixley Union Elementary"	"KK-08"	852	42.06999969	24.21419907	94.29570007	80	617.3499756	6026.359863	7.453999996	49.41314316	614.7999878	619.9000244	20.2519611665821	0.0938967136150235	0.0938967136150235	0
"17"	17	63594	"Kern"	"Lost Hills Union Elementary"	"KK-08"	491	28.92000008	11.20160007	97.75969696	100	618.0500488	6723.237793	6.21600008	85.53971863	611.7000122	624.4000244	16.9778699392037	0.203665987780041	0.203665987780041	0
"18"	18	63370	"Kern"	"Buttonwillow Union Elementary"	"KK-08"	421	25.5	8.551099777	77.90969849	50	618.3000488	5589.885254	7.763999939	58.90736389	614.9000244	621.7000122	16.5098039215686	0.118764845605701	0.118764845605701	0
"19"	19	64709	"Los Angeles"	"Lennox Elementary"	"KK-08"	6880	303.0299988	21.28240013	94.97119904	960	619.7999878	5064.615723	7.021999836	77.0058136	619.0999756	620.5	22.7040227939307	0.13953488372093	0.13953488372093	0
"20"	20	63560	"Kern"	"Lamont Elementary"	"KK-08"	2688	135	23.4375	93.22920227	139	620.2999878	5433.593262	5.698999882	49.81398773	621.2999878	619.2999878	19.9111111111111	0.0517113095238095	0.0517113095238095	0
"21"	21	63230	"Imperial"	"Westmorland Union Elementary"	"KK-08"	440	24	34.77270126	100	69	620.5	5725.563477	7.940999985	40.68181992	615.5999756	625.4000244	18.3333333333333	0.156818181818182	0.156818181818182	0
"22"	22	72058	"Tulare"	"Pleasant View Elementary"	"KK-08"	475	21	21.64949989	91.54640198	53	621.4000244	4542.10498	9.630000114	16.21052551	619.9000244	622.9000244	22.6190476190476	0.111578947368421	0.111578947368421	0
"23"	23	63842	"Kern"	"Wasco Union Elementary"	"KK-08"	2538	130.5	18.91110039	70.8167038	169	621.75	5107.086426	7.40500021	45.07486343	622.9000244	620.5999756	19.448275862069	0.0665878644602049	0.0665878644602049	0
"24"	24	71811	"Tulare"	"Alta Vista Elementary"	"KK-08"	476	19	43.85589981	100	0	622.0500488	4659.661621	9.630000114	39.07563019	620.7000122	623.4000244	25.0526315789474	0	0	0
"25"	25	65748	"Merced"	"Livingston Union Elementary"	"KK-08"	2357	114	16.8010006	90.623703	216	622.5999756	4555.464355	8.019000053	76.66525269	619.5	625.7000122	20.6754385964912	0.0916419176919813	0.0916419176919813	0
"26"	26	72272	"Tulare"	"Woodlake Union Elementary"	"KK-08"	1588	85	22.40719986	85.14720154	198	623.0999756	5415.152832	8.522999763	40.49118423	625	621.2000122	18.6823529411765	0.124685138539043	0.124685138539043	0
"27"	27	65961	"Monterey"	"Alisal Union Elementary"	"KK-06"	7306	319.7999878	17.00149918	88.03489685	742	623.2000122	4997.871582	7.983181477	73.7202301	620.4000244	626	22.8455293268151	0.101560361346838	0.101560361346838	0
