"state","year","cpi","population","packs","income","tax","price","taxs"
"AL","1995",1.5239999294281,4262731,101.085433959961,83903280,40.5000038146973,158.371337890625,41.904670715332
"AR","1995",1.5239999294281,2480121,111.04296875,45995496,55.5,175.542510986328,63.8591690063477
"AZ","1995",1.5239999294281,4306908,71.9541702270508,88870496,65.3333282470703,198.607498168945,74.7908248901367
"CA","1995",1.5239999294281,31493524,56.8593063354492,771470144,61,210.504669189453,74.7713317871094
"CO","1995",1.5239999294281,3738061,82.5829238891602,92946544,44,167.350006103516,44
"CT","1995",1.5239999294281,3265293,79.4721908569336,104315120,74,218.280502319336,86.3554992675781
"DE","1995",1.5239999294281,718265,124.466598510742,18237436,48,165.600006103516,48
"FL","1995",1.5239999294281,14185403,93.0745544433594,333525344,57.9000015258789,187.717178344727,68.525505065918
"GA","1995",1.5239999294281,7188538,97.4746246337891,159800448,36,156.57307434082,37.4314155578613
"IA","1995",1.5239999294281,2840860,92.4015960693359,60170928,60,190.889999389648,69.0899963378906
"ID","1995",1.5239999294281,1165000,74.8497848510742,22868920,52,179.637512207031,60.5541687011719
"IL","1995",1.5239999294281,11884935,83.2650756835938,304767456,68.0000076293945,198.476165771484,79.234504699707
"IN","1995",1.5239999294281,5791819,134.258346557617,126525008,39.5,154.533752441406,46.8587493896484
"KS","1995",1.5239999294281,2586942,88.7534408569336,56626672,48,175.210006713867,56.343334197998
"KY","1995",1.5239999294281,3855248,172.64778137207,74079712,27,145.979675292969,35.2630004882812
"LA","1995",1.5239999294281,4327978,105.176132202148,84572688,44,167.795349121094,50.4536666870117
"MA","1995",1.5239999294281,6062335,76.6206436157227,170051568,75,217.105010986328,85.3383331298828
"MD","1995",1.5239999294281,5023650,77.4735488891602,135115456,60,186.033752441406,68.8587493896484
"ME","1995",1.5239999294281,1237438,102.469779968262,25045934,61,197.230651855469,72.1640014648438
"MI","1995",1.5239999294281,9659871,81.3882522583008,231594240,99,240.849670410156,112.633003234863
"MN","1995",1.5239999294281,4605445,82.9452972412109,113216856,72,220.348663330078,86.4153366088867
"MO","1995",1.5239999294281,5324610,122.45027923584,117639672,41.0000038146973,157.230087280273,42.3884201049805
"MS","1995",1.5239999294281,2690788,105.582450866699,46241956,42,169.229400634766,53.0710830688477
"MT","1995",1.5239999294281,868522,87.1595687866211,16296835,42,156.216674804688,42
"NC","1995",1.5239999294281,7185403,121.538063049316,157633568,29,149.994003295898,34.7690010070801
"ND","1995",1.5239999294281,641548,79.8069686889648,12243384,68,192.248672485352,78.8820037841797
"NE","1995",1.5239999294281,1635142,87.2707061767578,36293064,58,182.175003051758,66.6750030517578
"NH","1995",1.5239999294281,1145604,156.33674621582,28649564,49,166.641662597656,49
"NJ","1995",1.5239999294281,7965523,80.3713684082031,233208576,64,203.087173461914,75.4954986572266
"NM","1995",1.5239999294281,1682417,64.6688690185547,31716160,45,176.146240234375,53.3879165649414
"NV","1995",1.5239999294281,1525777,93.5261154174805,39377292,59,206.599166870117,72.5158309936523
"NY","1995",1.5239999294281,18150928,70.8173217773438,503163328,80,221.858001708984,88.5329971313477
"OH","1995",1.5239999294281,11155493,111.380104064941,255312928,48,165.891250610352,55.8995819091797
"OK","1995",1.5239999294281,3265547,108.680107116699,63333300,47,170.134994506836,55.1016654968262
"OR","1995",1.5239999294281,3141421,92.1557464599609,71209312,62,190.300003051758,62
"PA","1995",1.5239999294281,12044780,95.6430892944336,285923232,55,176.163162231445,64.9714965820312
"RI","1995",1.5239999294281,989203,92.5998001098633,23786644,80,224.459243774414,94.6842498779297
"SC","1995",1.5239999294281,3699943,108.082748413086,72050072,31,152.818740844727,38.2770843505859
"SD","1995",1.5239999294281,728251,97.2192306518555,14454129,47,168.037994384766,53.4630012512207
"TN","1995",1.5239999294281,5241168,122.320053100586,114259984,37,167.067001342773,49.3753318786621
"TX","1995",1.5239999294281,18679706,73.0793075561523,402096768,65,198.202331542969,76.2190017700195
"UT","1995",1.5239999294281,1976774,49.2721977233887,37278220,50.5,180.976257324219,59.1179161071777
"VA","1995",1.5239999294281,6601392,105.386871337891,161441792,26.5000057220459,166.661254882812,34.4362564086914
"VT","1995",1.5239999294281,582827,122.334754943848,12448607,44,175.638748168945,52.3637504577637
"WA","1995",1.5239999294281,5431024,65.5309219360352,129680832,80.5,239.109344482422,96.1426696777344
"WI","1995",1.5239999294281,5137004,92.4663467407227,115959680,62,201.381256103516,71.5895843505859
"WV","1995",1.5239999294281,1820560,115.568832397461,32611268,41,166.517181396484,50.4254989624023
"WY","1995",1.5239999294281,478447,112.238136291504,10293195,36,158.541656494141,36
