"agecell","all","internal","external","mva"
19.068493,92.825401,16.61759,76.207817,35.829327
19.150684,95.100739,18.327684,76.773056,35.639256
19.232876,92.144295,18.911053,73.233238,34.20565
19.315069,88.427757,16.10177,72.325981,32.278957
19.397261,88.704941,17.36352,71.341415,32.650967
19.479452,90.191788,17.872105,72.319679,32.721443
19.561644,96.220306,16.414942,79.805367,36.385197
19.643835,89.615555,15.977087,73.638466,34.187935
19.726027,93.381699,17.433271,75.948425,31.910467
19.80822,90.857956,18.2854,72.572556,30.576832
19.890411,95.81015,18.607599,77.202553,33.531654
19.972603,94.158066,18.436279,75.721786,33.603443
20.054794,92.4646,19.634459,72.830139,31.772816
20.136986,98.245598,20.88386,77.36174,34.298309
20.219177,94.960403,18.473003,76.487396,33.32011
20.301371,93.385323,18.883484,74.501839,32.759403
20.383562,90.120918,18.56782,71.553101,30.589046
20.465754,92.406227,19.363131,73.043091,31.28775
20.547945,93.354485,19.968874,73.385612,30.298925
20.630136,92.228783,19.422657,72.806122,30.230118
20.712328,92.332245,20.377037,71.955208,30.122578
20.794521,92.667511,19.521132,73.146378,29.74465
20.876713,93.390198,18.623945,74.766251,30.717916
20.958904,94.269913,20.200695,74.069221,30.417139
21.041096,105.26835,21.937366,83.330986,36.316807
21.123287,101.06651,21.121853,79.944664,32.575798
21.205479,96.966522,19.253281,77.713242,33.022293
21.287672,102.8269,21.508316,81.318581,35.106873
21.369864,100.97943,22.366144,78.613289,32.358696
21.452055,101.23695,21.232779,80.004173,32.455261
21.534246,99.497597,21.27055,78.227043,31.533688
21.616438,95.201309,22.093296,73.108009,30.098682
21.698629,97.258247,21.267872,75.990379,30.388288
21.780823,98.928726,19.454931,79.473793,31.742258
21.863014,102.26221,20.515566,81.746643,34.481934
21.945206,96.833374,22.093819,74.739555,31.540012
22.027397,99.501968,21.024887,78.477074,31.834293
22.109589,96.072289,23.40324,72.669044,29.55155
22.19178,95.968208,20.624224,75.343979,30.836988
22.273973,98.610672,23.129915,75.480759,29.857895
22.356165,97.952469,23.092215,74.860252,28.75559
22.438356,97.411728,24.37291,73.038818,27.649269
22.520548,97.509476,23.49674,74.012733,28.260136
22.602739,95.562393,22.817877,72.744514,29.234152
22.684931,97.023064,21.815123,75.207939,29.528757
22.767124,99.374573,24.350594,75.023979,27.44976
22.849316,94.315308,22.943741,71.371567,26.855064
22.931507,97.397644,24.238319,73.159325,27.389301
